95-AWP-0600-OE,37.7651944444444,-122.4205
2013-AWP-3446-OE,37.7476944444444,-122.420916666667
95-AWP-1305-OE,37.75102777777779,-122.41772222222201
97-AWP-3040-OE,37.75047222222221,-122.416888888889
97-AWP-2455-OE,37.7551944444444,-122.418555555556
2017-AWP-2441-OE,37.743,-122.414944444444
97-AWP-2946-OE,37.764638888888896,-122.423833333333
98-AWP-2430-OE,37.7621388888889,-122.43494444444401
2020-AWP-7236-OE,37.7939166666667,-122.395805555556
2020-AWP-3799-OE,37.793027777777795,-122.399027777778
2020-AWP-3806-OE,37.7954444444444,-122.40411111111099
89-AWP-838-OE,37.782138888888895,-122.391638888889
2015-AWP-4105-OE,37.792,-122.396638888889
99-AWP-1457-OE,37.7922777777778,-122.403361111111
2020-AWP-9647-OE,37.790055555555604,-122.399972222222
97-AWP-1115-OE,37.793333333333294,-122.414166666667
2004-AWP-165-OE,37.7863055555556,-122.40997222222201
81-AWE-250-OE,37.789638888888895,-122.401611111111
00-AWP-2821-OE,37.7904166666667,-122.40377777777799
00-AWP-2311-OE,37.7938055555556,-122.398222222222
00-AWP-0992-OE,37.7930833333333,-122.400055555556
2013-AWP-6231-OE,37.791416666666706,-122.404805555556
2004-AWP-474-OE,37.796,-122.39922222222201
00-AWP-2815-OE,37.7961111111111,-122.403916666667
2003-AWP-2423-OE,37.7914444444444,-122.40536111111099
00-AWP-2819-OE,37.79725,-122.40100000000001
84-AWP-1288-OE,37.7910277777778,-122.397722222222
89-AWP-56O-OE,37.7940833333333,-122.397166666667
01-AWP-2066-OE,37.7886666666667,-122.403055555556
99-AWP-0450-OE,37.797138888888895,-122.399666666667
00-AWP-1385-OE,37.797722222222205,-122.40100000000001
00-AWP-1525-OE,37.78975,-122.405277777778
77-WE-143-OE,37.7951944444444,-122.397166666667
94-AWP-1649-OE,37.7921388888889,-122.40661111111099
00-AWP-0979-OE,37.7880277777778,-122.40361111111099
01-AWP-3666-OE,37.789361111111106,-122.397472222222
82-AWP-704-OE,37.7913055555556,-122.39633333333299
97-AWP-1801-OE,37.79852777777779,-122.402166666667
WE-OE-65-143,37.7921388888889,-122.39605555555599
92-AWP-1023-OE,37.792972222222204,-122.395777777778
00-AWP-1447-OE,37.7973333333333,-122.405638888889
97-AWP-0792-OE,37.7871388888889,-122.403277777778
80-AWE-153-OE,37.7915833333333,-122.3955
01-AWP-4375-OE,37.787194444444395,-122.398472222222
96-AWP-1876-OE,37.7865833333333,-122.399666666667
00-AWP-0993-OE,37.7924444444444,-122.39488888888901
91-AWP-803-OE,37.7938055555556,-122.394666666667
99-AWP-1165-OE,37.793194444444396,-122.3945
00-AWP-3062-OE,37.797694444444396,-122.406916666667
01-AWP-1873-OE,37.7865833333333,-122.398305555556
98-AWP-2680-OE,37.7874166666667,-122.406333333333
96-AWP-1731-OE,37.789361111111106,-122.40799999999999
99-AWP-1176-OE,37.797472222222204,-122.39555555555599
00-AWP-1440-OE,37.7876388888889,-122.396
00-AWP-2682-OE,37.7888055555556,-122.408305555556
01-AWP-3402-OE,37.786972222222204,-122.40694444444401
96-AWP-3436-OE,37.7849166666667,-122.4005
97-AWP-2727-OE,37.7924166666667,-122.393277777778
94-AWP-1807-OE,37.789916666666706,-122.40938888888901
95-AWP-1394-OE,37.7915833333333,-122.40994444444401
98-AWP-3224-OE,37.7851944444445,-122.40522222222201
00-AWP-0925-OE,37.785472222222204,-122.406055555556
01-AWP-1046-OE,37.786666666666704,-122.407777777778
93-AWP-0851-OE,37.79075,-122.410222222222
2008-AWP-3220-OE,37.7877777777778,-122.409166666667
97-AWP-0341-OE,37.7840833333333,-122.404388888889
97-AWP-3031-OE,37.7849166666667,-122.39633333333299
2011-AWP-7789-OE,37.7913055555556,-122.39208333333299
98-AWP-2681-OE,37.8001944444445,-122.40799999999999
00-AWP-0678-OE,37.7835277777778,-122.403555555556
98-AWP-0958-OE,37.7879722222222,-122.39299999999999
76-WE-339-OE,37.79075,-122.39161111111099
00-AWP-3063-OE,37.7871388888889,-122.40997222222201
2013-AWP-7113-OE,37.7871388888889,-122.393027777778
00-AWP-2396-OE,37.7853055555556,-122.40855555555599
2013-AWP-7117-OE,37.787,-122.392527777778
00-AWP-1996-OE,37.7835277777778,-122.406916666667
97-AWP-1602-OE,37.7863055555556,-122.392722222222
97-AWP-1314-OE,37.7840833333333,-122.39494444444401
00-AWP-2882-OE,37.781861111111105,-122.40116666666701
00-AWP-1633-OE,37.7838055555556,-122.408027777778
01-AWP-2065-OE,37.7828888888889,-122.40666666666701
97-AWP-2482-OE,37.7938055555556,-122.413
98-AWP-2050-OE,37.7860277777778,-122.39216666666701
00-AWP-2309-OE,37.7868333333333,-122.41161111111099
2019-AWP-7215-OE,37.781833333333296,-122.40555555555599
97-AWP-1800-OE,37.7860277777778,-122.41133333333299
00-AWP-1043-OE,37.782,-122.40666666666701
99-AWP-1103-OE,37.790472222222206,-122.414111111111
01-AWP-1043-OE,37.783083333333295,-122.39341666666701
96-AWP-2170-OE,37.7888055555556,-122.389388888889
98-AWP-1255-OE,37.781583333333295,-122.407722222222
97-AWP-1811-OE,37.7801944444444,-122.40411111111099
00-AWP-1684-OE,37.780916666666705,-122.39575
01-AWP-3844-OE,37.7795833333333,-122.40155555555599
94-AWP-1943-OE,37.7801944444444,-122.405777777778
87-AWP-625-OE,37.7924166666667,-122.4155
2017-AWP-6126-OE,37.79675,-122.415083333333
01-AWP-0524-OE,37.779722222222205,-122.40694444444401
98-AWP-2693-OE,37.80547222222221,-122.40855555555599
